Year,Carbon dioxide,Methane,Nitrous oxide,"HFCs, PFCs, SF6, and NF3"
1990,5122.496248,780.8141,450.4734102,99.66646492
1991,5064.987175,786.2160755,441.0531642,90.68250713
1992,5175.219975,785.9485798,440.8427199,95.27880416
1993,5274.36263,774.9709174,469.0582774,95.00392504
1994,5365.578825,781.5305145,454.6928806,98.97595549
1995,5427.798477,773.1786792,466.5342667,117.8521911
1996,5616.430864,766.9609526,478.5346791,128.9990843
1997,5691.864597,753.360047,464.5610395,136.427405
1998,5737.12937,739.5129204,465.3563848,152.8347134
1999,5810.331395,722.78784,455.1501927,149.8712855
2000,6016.350574,718.0723749,442.3164251,150.8538354
2001,5911.988517,711.3830839,457.9544469,137.8369262
2002,5952.698581,704.2409905,456.4295178,145.7880601
2003,6015.804219,703.8154541,457.2939939,136.9144145
2004,6117.962686,698.6691402,467.3439114,144.4719068
2005,6137.603445,697.4591319,453.3329635,146.4323987
2006,6057.163161,703.2787209,450.9811271,149.3782578
2007,6135.287208,706.2883089,461.1799118,161.0309784
2008,5918.868654,714.4236714,444.6878856,162.6633374
2009,5482.977899,702.5099016,443.4117778,158.3651485
2010,5681.392035,705.3117802,452.709362,168.0290839
2011,5546.628958,679.7714519,443.4108683,175.2758416
2012,5345.454261,674.5752268,414.6174404,171.8768359
2013,5480.926097,670.076216,461.722199,171.7697047
2014,5528.871276,666.0725132,471.7697457,176.6422874
2015,5376.577933,666.713762,466.4668346,179.2475968
2016,5251.757629,657.5921935,449.1997112,179.3214978
2017,5210.957584,663.7583467,444.5771139,181.6823407
2018,5376.657233,671.0976278,457.7172151,182.040497
2019,5259.143836,668.8266975,456.8088739,186.9463389
2020,4715.691109,650.4191835,426.0539311,189.1901487
